symbol,series,date1,prev_close,open,high,low,last_price,close,average_pr,tottrades,turnover,numtrades,delivery,volume,action,avgaction,avgdel,date,lottery
"INFY"," EQ"," 12-Apr-2021"," 1441.05"," 1474.00"," 1477.55"," 1415.00"," 1431.50"," 1425.75"," 1438.59"," 20384532"," 293250.13"," 477964"," 8931478"," 43.81",43,40,50.66,04/12/2021,F
"INFY"," EQ"," 09-Apr-2021"," 1439.85"," 1455.00"," 1455.00"," 1430.05"," 1441.00"," 1441.05"," 1441.23"," 6052712"," 87233.70"," 134860"," 2125177"," 35.11",45,41,50.45,04/09/2021,F
"INFY"," EQ"," 08-Apr-2021"," 1430.20"," 1430.00"," 1451.70"," 1421.00"," 1438.15"," 1439.85"," 1440.96"," 5654434"," 81477.89"," 179859"," 2480903"," 43.88",31,41,50.58,04/08/2021,F
"INFY"," EQ"," 07-Apr-2021"," 1411.05"," 1410.25"," 1434.95"," 1406.60"," 1430.00"," 1430.20"," 1422.23"," 5879234"," 83616.00"," 135633"," 2734437"," 46.51",43,41,50.67,04/07/2021,F
"INFY"," EQ"," 06-Apr-2021"," 1409.90"," 1423.00"," 1426.00"," 1406.45"," 1414.00"," 1411.05"," 1415.69"," 5793571"," 82018.99"," 153955"," 2555430"," 44.11",38,41,50.54,04/06/2021,F
"INFY"," EQ"," 05-Apr-2021"," 1385.20"," 1391.00"," 1425.00"," 1387.00"," 1415.00"," 1409.90"," 1406.84"," 9479572"," 133362.74"," 237018"," 3462914"," 36.53",40,41,50.49,04/05/2021,F
"INFY"," EQ"," 01-Apr-2021"," 1368.05"," 1380.00"," 1391.60"," 1371.00"," 1386.00"," 1385.20"," 1382.72"," 5675155"," 78471.49"," 146481"," 3176842"," 55.98",39,41,50.25,04/01/2021,F
"INFY"," EQ"," 31-Mar-2021"," 1385.30"," 1382.00"," 1388.00"," 1363.30"," 1367.30"," 1368.05"," 1370.72"," 8220987"," 112686.78"," 218153"," 4107507"," 49.96",38,42,50.21,03/31/2021,F
"INFY"," EQ"," 30-Mar-2021"," 1336.20"," 1346.90"," 1400.00"," 1336.15"," 1386.50"," 1385.30"," 1373.99"," 10546919"," 144913.56"," 227944"," 5618355"," 53.27",46,42,50.14,03/30/2021,T
"INFY"," EQ"," 26-Mar-2021"," 1333.80"," 1344.70"," 1356.70"," 1332.00"," 1338.70"," 1336.20"," 1340.61"," 4922071"," 65985.65"," 138471"," 2501215"," 50.82",36,42,49.97,03/26/2021,F
"INFY"," EQ"," 25-Mar-2021"," 1353.75"," 1346.75"," 1352.50"," 1327.60"," 1337.60"," 1333.80"," 1338.88"," 8749994"," 117152.31"," 184200"," 5246781"," 59.96",48,42,49.95,03/25/2021,T
"INFY"," EQ"," 24-Mar-2021"," 1371.55"," 1357.85"," 1370.45"," 1346.25"," 1355.00"," 1353.75"," 1357.63"," 6134303"," 83281.39"," 143327"," 3197000"," 52.12",43,42,49.57,03/24/2021,T
"INFY"," EQ"," 23-Mar-2021"," 1370.80"," 1372.45"," 1383.25"," 1359.60"," 1369.80"," 1371.55"," 1372.44"," 7165335"," 98339.91"," 164495"," 4362930"," 60.89",44,42,49.42,03/23/2021,T
"INFY"," EQ"," 22-Mar-2021"," 1344.45"," 1350.10"," 1376.00"," 1336.10"," 1371.10"," 1370.80"," 1355.94"," 4862758"," 65936.05"," 129112"," 2199710"," 45.24",38,42,49.07,03/22/2021,F
"INFY"," EQ"," 19-Mar-2021"," 1337.10"," 1330.00"," 1355.20"," 1318.00"," 1347.15"," 1344.45"," 1340.27"," 12767112"," 171113.31"," 235459"," 6608143"," 51.76",54,42,48.91,03/19/2021,T
"INFY"," EQ"," 18-Mar-2021"," 1387.00"," 1393.75"," 1393.75"," 1313.50"," 1341.80"," 1337.10"," 1347.80"," 10961755"," 147742.34"," 298042"," 5544994"," 50.58",37,42,48.83,03/18/2021,F
"INFY"," EQ"," 17-Mar-2021"," 1384.00"," 1392.25"," 1400.00"," 1382.00"," 1387.10"," 1387.00"," 1392.47"," 7626744"," 106200.25"," 157640"," 3955892"," 51.87",48,42,48.90,03/17/2021,T
"INFY"," EQ"," 16-Mar-2021"," 1373.60"," 1386.05"," 1406.00"," 1380.50"," 1384.60"," 1384.00"," 1391.20"," 9352771"," 130115.43"," 230871"," 5151968"," 55.08",41,42,48.94,03/16/2021,F
"INFY"," EQ"," 15-Mar-2021"," 1374.85"," 1370.00"," 1379.90"," 1358.50"," 1371.95"," 1373.60"," 1369.96"," 6658665"," 91220.83"," 174194"," 3687770"," 55.38",38,42,48.92,03/15/2021,F
"INFY"," EQ"," 12-Mar-2021"," 1368.15"," 1373.00"," 1391.70"," 1370.05"," 1375.30"," 1374.85"," 1381.13"," 9462061"," 130683.74"," 199285"," 6173518"," 65.24",47,42,48.89,03/12/2021,T
"INFY"," EQ"," 10-Mar-2021"," 1345.55"," 1356.90"," 1374.00"," 1355.00"," 1366.50"," 1368.15"," 1365.17"," 7925984"," 108203.04"," 177164"," 3965517"," 50.03",45,42,49.06,03/10/2021,T
"INFY"," EQ"," 09-Mar-2021"," 1335.75"," 1329.50"," 1350.45"," 1318.75"," 1344.00"," 1345.55"," 1334.21"," 6518173"," 86965.84"," 144157"," 3617807"," 55.50",45,42,49.09,03/09/2021,T
"INFY"," EQ"," 08-Mar-2021"," 1316.70"," 1324.80"," 1346.10"," 1317.20"," 1336.05"," 1335.75"," 1334.28"," 5119392"," 68306.99"," 126809"," 2621080"," 51.20",40,42,49.00,03/08/2021,F
"INFY"," EQ"," 05-Mar-2021"," 1330.35"," 1328.50"," 1340.00"," 1305.05"," 1320.05"," 1316.70"," 1322.67"," 6486176"," 85790.75"," 180930"," 3131285"," 48.28",36,42,49.05,03/05/2021,F
"INFY"," EQ"," 04-Mar-2021"," 1343.55"," 1335.00"," 1363.85"," 1325.90"," 1334.60"," 1330.35"," 1343.22"," 12041941"," 161749.61"," 225028"," 5289423"," 43.93",54,42,49.15,03/04/2021,F
